	freq	pmi	t-score	trigram	xi square	z-score
0	275	14.694209423538803	16.5821221683031	геометрия_s линейный_a алгебра_s	2.3615051439432034e+31	2133.46907679285
1	274	15.01354277443774	16.5521439488652	аналитический_a геометрия_s линейный_a	1.969294002059168e+31	2378.8384808879414
2	146	9.947264717368537	12.063445945752049	система_s линейный_a уравнение_s	7.523313093608991e+30	299.52374168902054
3	109	16.66979136659111	10.440146143263359	а_s а_s т_s	2.9748549249149995e+30	2663.8362947681167
4	79	9.411572091576224	8.867294077136153	доказать_v что_conj если_conj	1.5055682692115743e+31	182.86104914100096
5	77	8.790165297431095	8.743221439488307	в_pr линейный_a пространство_s	8.604442960585144e+30	145.36857426532936
6	73	15.984023951116509	8.543792641501225	ответ_s указание_s решение_s	1.2813693845585365e+30	1718.8317694980306
7	70	13.70004813756889	8.365593498498463	тогда_adv только_part тогда_adv	1.2009180781942058e+30	762.6175855463473
8	70	17.181357553292976	8.36651011853443	а_s т_s о_s	1.8115868099671617e+30	2548.846478565563
9	64	16.029210281075173	7.999808432337198	только_part тогда_adv когда_conj	1.145048107945603e+30	1634.7956762511863
10	60	7.395838449254276	7.672310082894647	функция_s в_pr точка_s	1.42421900199251e+31	78.67886703023667
11	59	15.0996055321399	7.680795401893057	о_pr а_s а_s	2.2385754560094263e+30	1137.2884617116497
12	57	15.128357162122013	7.549496873347926	линия_s второй_a порядок_s	4.077304663447377e+30	1129.0417390906086
13	47	8.053811488435505	6.814338872681433	число_s доказать_v что_conj	3.0613217152855764e+31	87.77897153379215
14	47	10.880630835146713	6.849831450218405	зависимость_s в_pr линейный_a	1.3427815626810653e+30	235.0311113676183
15	45	9.056022734388538	6.688021333681256	доказать_v что_conj при_pr	1.4089728936232524e+31	121.93046622855601
16	42	10.306116567121116	6.472543230317153	элемент_s линейный_a пространство_s	7.675740661464008e+30	181.98995389537305
17	41	8.598452129709782	6.376669391528709	доказать_v что_conj для_pr	1.315788826846756e+31	99.20584188373064
18	41	14.712803306640565	6.4027423792268365	с_pr другой_a сторона_s	6.18079103428073e+29	829.1076611290474
19	39	14.436903592439887	6.244547081415133	поверхность_s второй_a порядок_s	3.7525165464507413e+30	734.8840131189205
20	38	7.98121035333741	6.125346703160811	линейный_a уравнение_s с_pr	2.8973894782403613e+30	76.94313490771971
21	37	7.708676002386818	6.036197115751948	доказать_v что_conj число_s	1.1330783720164658e+31	68.98935866642941
22	37	13.195703847146888	6.081724276555649	иметь_v место_s равенство_s	1.0266008196197746e+30	465.5061310093816
23	36	8.296659189183343	5.969442819062785	число_s такой_a что_conj	4.491773704766193e+30	83.6474640187798
24	36	13.681875633308662	5.999268858217936	в виде_pr где_adv	2.6895378699394684e+30	543.4669634033439
25	36	12.970289451053864	5.998802679582881	ортонормированный_a система_s координата_s	6.038651587493992e+30	424.6537932778947
26	35	9.006554669940057	5.8976595032436245	что_conj для_pr любой_a	5.053060661122442e+30	105.69357658930994
27	35	15.666125765961532	5.915897575886363	о_s а_s а_s	1.9077030181889834e+30	1065.9942802425314
28	35	7.749849692375652	5.872064640013489	линейный_a оператор_s в_pr	2.891615816185319e+30	68.07799862366939
